,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
17,0.0,0.0,3,0.659,0.0627,3,0.7346,0.0433,3,0.6667,0.1667,3,0.0,0.0,3,3.0,0.0,3,0.0524,0.0508,3,0.0,0.0,3,158.5926,86.3585,3,0.8339,0.0093,3,0.2717,0.0202,3,0.0208,0.0156,3,3.0,0.0,3,0.5178,0.0186,3,0.2498,0.0063,3,0.8311,0.0352,3,0.2521,0.0061,3
18,0.0,0.0,2,0.6983,0.013,2,0.8111,0.0608,2,0.5,0.0,2,0.0,0.0,2,3.0,0.0,2,0.0715,0.0073,2,0.0,0.0,2,89.5115,34.7939,2,0.8372,0.003,2,0.2771,0.0014,2,0.0133,0.0033,2,3.0,0.0,2,0.5223,0.0022,2,0.2488,0.0046,2,0.8315,0.0404,2,0.2587,0.0058,2
20,0.1667,0.2357,2,0.6817,0.0993,2,0.7213,0.0432,2,0.5833,0.1179,2,0.5,0.7071,2,3.0,0.0,2,0.0812,0.012,2,0.0,0.0,2,95.8327,23.2219,2,0.8352,0.0045,2,0.2815,0.0164,2,0.0167,0.0089,2,3.0,0.0,2,0.5116,0.0427,2,0.2369,0.0303,2,0.8372,0.1195,2,0.2671,0.0134,2
21,0.0,0.0,3,0.6823,0.1248,3,0.8014,0.2295,3,0.6667,0.1667,3,0.0,0.0,3,3.0,0.0,3,0.0474,0.0413,3,0.0,0.0,3,356.4133,343.0469,3,0.8267,0.0009,3,0.2637,0.0098,3,0.013,0.0116,3,3.0,0.0,3,0.5128,0.0268,3,0.251,0.0184,3,0.8027,0.0662,3,0.2468,0.0069,3
26,0.0,0.0,3,0.6684,0.124,3,0.7621,0.218,3,0.6111,0.1925,3,0.0,0.0,3,3.0,0.0,3,0.0702,0.0473,3,0.0,0.0,3,451.5473,674.3442,3,0.8188,0.0196,3,0.2663,0.0197,3,0.0282,0.0107,3,3.0,0.0,3,0.5025,0.0325,3,0.2403,0.0404,3,0.7952,0.0662,3,0.2365,0.0322,3
27,0.0,0.0,2,0.6082,0.0088,2,0.7023,0.0103,2,0.8333,0.2357,2,0.0,0.0,2,3.0,0.0,2,0.1015,0.065,2,0.0,0.0,2,1063.8269,1411.5267,2,0.8323,0.0065,2,0.2863,0.0036,2,0.0218,0.0164,2,3.0,0.0,2,0.5078,0.0283,2,0.2245,0.0316,2,0.7774,0.0615,2,0.2671,0.0117,2
28,0.0,0.0,2,0.6227,0.0225,2,0.7139,0.02,2,0.8333,0.2357,2,0.0,0.0,2,3.0,0.0,2,0.1112,0.0715,2,0.0,0.0,2,2154.2391,2973.6122,2,0.8339,0.0085,2,0.2832,0.0055,2,0.0238,0.0167,2,3.0,0.0,2,0.5084,0.034,2,0.2281,0.0289,2,0.7833,0.0715,2,0.2618,0.0023,2
29,0.0,,1,0.6083,,1,0.6083,,1,1.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,353.0876,,1,0.82,,1,0.2497,,1,0.0061,,1,3.0,,1,0.5081,,1,0.2599,,1,0.8094,,1,0.2423,,1
30,0.0,,1,0.61,,1,0.6973,,1,0.6667,,1,0.0,,1,3.0,,1,0.0766,,1,0.0,,1,72.6091,,1,0.8416,,1,0.2776,,1,0.0161,,1,3.0,,1,0.4843,,1,0.2096,,1,0.7489,,1,0.2558,,1
31,0.0,0.0,2,0.6009,0.0161,2,0.6445,0.0778,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0505,0.0714,2,0.0,0.0,2,213.3074,210.2935,2,0.8241,0.011,2,0.2613,0.0212,2,0.0076,0.0091,2,3.0,0.0,2,0.4879,0.0083,2,0.2298,0.0275,2,0.7752,0.0376,2,0.2507,0.0083,2
32,0.0,,1,0.4991,,1,0.5376,,1,0.6667,,1,0.0,,1,3.0,,1,0.1133,,1,0.0,,1,50.4937,,1,0.8335,,1,0.2772,,1,0.0189,,1,3.0,,1,0.441,,1,0.1952,,1,0.7219,,1,0.2518,,1
33,0.0,,1,0.5847,,1,0.6609,,1,0.6667,,1,0.0,,1,3.0,,1,0.0632,,1,0.0,,1,79.8076,,1,0.8323,,1,0.2729,,1,0.0212,,1,3.0,,1,0.4913,,1,0.2282,,1,0.8372,,1,0.2507,,1
34,0.0,,1,0.6396,,1,0.723,,1,0.6667,,1,0.0,,1,3.0,,1,0.0799,,1,0.0,,1,68.4897,,1,0.8292,,1,0.2711,,1,0.0097,,1,3.0,,1,0.5045,,1,0.2393,,1,0.8418,,1,0.2642,,1
35,0.0,,1,0.6928,,1,0.8542,,1,0.6667,,1,0.0,,1,3.0,,1,0.1442,,1,0.0,,1,42.4497,,1,0.8141,,1,0.2738,,1,0.0222,,1,3.0,,1,0.5174,,1,0.2463,,1,0.8234,,1,0.2463,,1
36,0.0,0.0,2,0.6451,0.063,2,0.7304,0.1836,2,0.8333,0.2357,2,0.0,0.0,2,3.0,0.0,2,0.0383,0.0541,2,0.0,0.0,2,510.709,660.2222,2,0.8209,0.0002,2,0.2573,0.0102,2,0.0104,0.0137,2,3.0,0.0,2,0.5114,0.0119,2,0.2559,0.0025,2,0.8136,0.0362,2,0.2466,0.0038,2
37,0.0,0.0,2,0.601,0.0017,2,0.6486,0.0657,2,0.8333,0.2357,2,0.0,0.0,2,3.0,0.0,2,0.0452,0.0639,2,0.0,0.0,2,376.2734,490.6036,2,0.8194,0.0064,2,0.26,0.0121,2,0.0124,0.0165,2,3.0,0.0,2,0.4809,0.0384,2,0.2281,0.0411,2,0.7563,0.0446,2,0.2461,0.0067,2
38,0.0,,1,0.578,,1,0.6732,,1,0.5,,1,0.0,,1,3.0,,1,0.0927,,1,0.0,,1,33.8397,,1,0.8142,,1,0.2718,,1,0.0132,,1,3.0,,1,0.471,,1,0.2037,,1,0.7359,,1,0.2532,,1
39,0.0,,1,0.6925,,1,0.8542,,1,0.5,,1,0.0,,1,3.0,,1,0.0638,,1,0.0,,1,32.6403,,1,0.8144,,1,0.2575,,1,0.0172,,1,3.0,,1,0.5028,,1,0.2487,,1,0.8161,,1,0.2355,,1
40,0.0,,1,0.603,,1,0.6843,,1,0.6667,,1,0.0,,1,3.0,,1,0.0955,,1,0.0,,1,41.3322,,1,0.8142,,1,0.266,,1,0.0138,,1,3.0,,1,0.476,,1,0.2147,,1,0.7561,,1,0.2478,,1
41,0.0,0.0,2,0.6354,0.0059,2,0.7187,0.0059,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0136,0.0192,2,0.0,0.0,2,504.6182,708.9099,2,0.8099,0.0275,2,0.2484,0.0115,2,0.01,0.0096,2,3.0,0.0,2,0.4968,0.0296,2,0.2522,0.0154,2,0.8183,0.0245,2,0.2373,0.0232,2
42,0.0,0.0,2,0.6655,0.0462,2,0.7911,0.0892,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0597,0.0845,2,0.0,0.0,2,1313.4835,1827.4083,2,0.8293,0.0098,2,0.2692,0.0105,2,0.0265,0.0358,2,3.0,0.0,2,0.5218,0.0002,2,0.2551,0.0081,2,0.8204,0.0054,2,0.2464,0.0203,2
43,0.0,0.0,2,0.6139,0.0194,2,0.7052,0.025,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0536,0.0758,2,0.0,0.0,2,2952.6184,4096.7533,2,0.8298,0.0039,2,0.2669,0.0108,2,0.0273,0.0364,2,3.0,0.0,2,0.5019,0.0239,2,0.24,0.0304,2,0.793,0.0597,2,0.2469,0.0145,2
44,0.0,0.0,2,0.6561,0.0626,2,0.7414,0.1833,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0456,0.0644,2,0.0,0.0,2,467.3698,523.0319,2,0.8287,0.0094,2,0.2652,0.0198,2,0.011,0.0115,2,3.0,0.0,2,0.5116,0.0035,2,0.2483,0.0151,2,0.8033,0.0023,2,0.2536,0.0084,2
45,0.0,0.0,2,0.558,0.0382,2,0.558,0.0382,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.028,0.0396,2,0.0,0.0,2,291.3653,317.9141,2,0.8187,0.0144,2,0.2543,0.0001,2,0.0109,0.0144,2,3.0,0.0,2,0.4816,0.0232,2,0.2301,0.0205,2,0.7535,0.0362,2,0.2433,0.0141,2
46,0.0,0.0,2,0.6291,0.0817,2,0.6708,0.1406,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0385,0.0545,2,0.0,0.0,2,2306.8165,3005.6903,2,0.8312,0.0076,2,0.2663,0.0165,2,0.0097,0.0051,2,3.0,0.0,2,0.5036,0.0106,2,0.239,0.0051,2,0.7932,0.016,2,0.2561,0.014,2
47,0.0,,1,0.5639,,1,0.6667,,1,0.5,,1,0.0,,1,3.0,,1,0.075,,1,0.0,,1,142.2771,,1,0.8447,,1,0.2746,,1,0.0286,,1,3.0,,1,0.4752,,1,0.2275,,1,0.8062,,1,0.2533,,1
48,0.0,0.0,2,0.6018,0.0253,2,0.6018,0.0253,2,0.9167,0.1179,2,0.0,0.0,2,3.0,0.0,2,0.0469,0.0663,2,0.0,0.0,2,2974.3339,4066.043,2,0.8359,0.0047,2,0.2662,0.0098,2,0.008,0.0092,2,3.0,0.0,2,0.5018,0.021,2,0.2407,0.0248,2,0.8091,0.0024,2,0.2551,0.003,2
49,0.0,,1,0.5638,,1,0.6569,,1,0.6667,,1,0.0,,1,3.0,,1,0.0748,,1,0.0,,1,198.148,,1,0.8434,,1,0.2789,,1,0.0269,,1,3.0,,1,0.4991,,1,0.2222,,1,0.7631,,1,0.2518,,1
50,0.0,0.0,2,0.5781,0.0662,2,0.5813,0.0617,2,0.6667,0.0,2,0.0,0.0,2,3.0,0.0,2,0.0337,0.0477,2,0.0,0.0,2,654.0341,738.9843,2,0.8374,0.0038,2,0.267,0.0109,2,0.0094,0.0117,2,3.0,0.0,2,0.4854,0.0246,2,0.2249,0.0283,2,0.776,0.0311,2,0.2538,0.0058,2
