,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
19,0.0,,1,0.3315,,1,0.1481,,1,0.8333,,1,0.0,,1,3.0,,1,0.0442,,1,0.0,,1,221.5574,,1,0.8098,,1,0.8331,,1,0.0059,,1,3.0,,1,0.8498,,1,0.0363,,1,0.93,,1,0.8268,,1
21,0.0417,0.1179,8,0.6827,0.1136,8,0.7572,0.174,8,0.5417,0.0772,8,0.125,0.3536,8,3.0,0.0,8,0.0304,0.0271,8,0.0,0.0,8,167.7099,130.0161,8,0.8121,0.0218,8,0.8298,0.024,8,0.0165,0.0107,8,3.0,0.0,8,0.8707,0.02,8,0.0492,0.0103,8,0.9483,0.0234,8,0.8101,0.0168,8
23,0.0833,0.1543,8,0.6944,0.1168,8,0.7577,0.1707,8,0.5833,0.1782,8,0.25,0.4629,8,3.0,0.0,8,0.0447,0.0508,8,0.0,0.0,8,2568.628,6375.7398,8,0.8149,0.0197,8,0.8357,0.0115,8,0.0159,0.0113,8,3.0,0.0,8,0.8771,0.0089,8,0.0502,0.008,8,0.9509,0.0258,8,0.8161,0.0124,8
24,0.0,,1,0.6478,,1,0.6667,,1,0.45,,1,0.0,,1,3.0,,1,0.0614,,1,0.0,,1,33.6319,,1,0.7896,,1,0.7627,,1,0.0048,,1,3.0,,1,0.8243,,1,0.0756,,1,0.9445,,1,0.7576,,1
25,0.0333,0.1054,10,0.6085,0.1565,10,0.6316,0.2377,10,0.6517,0.242,10,0.1,0.3162,10,3.0,0.0,10,0.0494,0.0595,10,0.0,0.0,10,1065.8434,2245.0908,10,0.8064,0.0218,10,0.8212,0.0253,10,0.0191,0.0085,10,3.0,0.0,10,0.8628,0.0242,10,0.0528,0.0111,10,0.9509,0.026,10,0.7994,0.0272,10
26,0.0,0.0,7,0.569,0.2639,7,0.6463,0.3214,7,0.719,0.2292,7,0.0,0.0,7,3.0,0.0,7,0.0269,0.0343,7,0.0,0.0,7,1277.3067,2654.5035,7,0.8071,0.0251,7,0.831,0.0313,7,0.0176,0.0159,7,3.0,0.0,7,0.8642,0.0291,7,0.0435,0.0224,7,0.9369,0.0507,7,0.8119,0.0367,7
27,0.0,0.0,2,0.5723,0.2224,2,0.6686,0.2801,2,0.7833,0.3064,2,0.0,0.0,2,3.0,0.0,2,0.0456,0.0645,2,0.0,0.0,2,6564.5861,8824.7819,2,0.8168,0.0572,2,0.8495,0.0394,2,0.013,0.0004,2,3.0,0.0,2,0.8792,0.0449,2,0.0437,0.0103,2,0.9575,0.0112,2,0.8323,0.0444,2
28,0.0,0.0,2,0.7395,0.0289,2,0.8507,0.054,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0108,0.0152,2,0.0,0.0,2,1180.9951,800.9137,2,0.8063,0.0424,2,0.8393,0.025,2,0.01,0.0046,2,3.0,0.0,2,0.8888,0.0252,2,0.0545,0.0054,2,0.974,0.0004,2,0.8283,0.0271,2
29,0.0,0.0,6,0.4694,0.2712,6,0.4711,0.3369,6,0.6083,0.1652,6,0.0,0.0,6,3.0,0.0,6,0.0433,0.0646,6,0.0,0.0,6,1205.9478,1975.8415,6,0.8033,0.0251,6,0.8197,0.033,6,0.0153,0.0059,6,3.0,0.0,6,0.8504,0.0362,6,0.0454,0.0109,6,0.9154,0.0419,6,0.7894,0.0337,6
30,0.0,,1,0.6843,,1,0.7045,,1,0.6667,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,191.2393,,1,0.8021,,1,0.8442,,1,0.0097,,1,3.0,,1,0.8778,,1,0.0526,,1,0.971,,1,0.8315,,1
31,0.3333,,1,0.7022,,1,0.6667,,1,0.6667,,1,1.0,,1,3.0,,1,0.0882,,1,0.0,,1,75.0232,,1,0.8172,,1,0.8096,,1,0.0069,,1,3.0,,1,0.8746,,1,0.0692,,1,0.9841,,1,0.8002,,1
33,0.0,0.0,2,0.6106,0.04,2,0.6736,0.0098,2,0.6667,0.0,2,0.0,0.0,2,3.0,0.0,2,0.0617,0.0243,2,0.0,0.0,2,47.7488,21.6828,2,0.8301,0.007,2,0.8383,0.0193,2,0.0052,0.006,2,3.0,0.0,2,0.8717,0.0042,2,0.0407,0.0192,2,0.9411,0.0227,2,0.8327,0.0254,2
34,0.0,0.0,6,0.4887,0.2835,6,0.5119,0.3298,6,0.7278,0.1705,6,0.0,0.0,6,3.0,0.0,6,0.0351,0.0393,6,0.0,0.0,6,418.44,654.9462,6,0.8042,0.0225,6,0.826,0.0265,6,0.0117,0.0062,6,3.0,0.0,6,0.8579,0.0208,6,0.0426,0.0233,6,0.923,0.0482,6,0.8066,0.0225,6
35,0.0741,0.147,9,0.576,0.263,9,0.6198,0.3438,9,0.6889,0.2115,9,0.2222,0.441,9,3.0,0.0,9,0.0471,0.061,9,0.0,0.0,9,1553.5449,4219.9155,9,0.8143,0.0244,9,0.8363,0.0209,9,0.0114,0.0093,9,3.0,0.0,9,0.8678,0.0257,9,0.0415,0.0169,9,0.9377,0.0475,9,0.8219,0.0295,9
36,0.0417,0.1179,8,0.603,0.1492,8,0.6406,0.2234,8,0.6333,0.1894,8,0.125,0.3536,8,3.0,0.0,8,0.047,0.0485,8,0.0,0.0,8,328.1364,575.7586,8,0.809,0.0271,8,0.8299,0.0315,8,0.0196,0.0152,8,3.0,0.0,8,0.8653,0.0124,8,0.0525,0.0118,8,0.9428,0.0268,8,0.7944,0.0326,8
37,0.0,0.0,6,0.6722,0.0889,6,0.7762,0.1447,6,0.6111,0.1721,6,0.0,0.0,6,3.0,0.0,6,0.0503,0.057,6,0.0,0.0,6,1327.4447,2914.949,6,0.8039,0.0275,6,0.8246,0.0193,6,0.0181,0.0249,6,3.0,0.0,6,0.8649,0.0143,6,0.0524,0.0136,6,0.9461,0.023,6,0.8031,0.0383,6
40,0.3333,,1,0.7191,,1,0.7836,,1,0.5,,1,1.0,,1,3.0,,1,0.0825,,1,0.0,,1,102.527,,1,0.8272,,1,0.8288,,1,0.0089,,1,3.0,,1,0.8722,,1,0.0592,,1,0.9841,,1,0.8169,,1
41,0.0,0.0,2,0.6476,0.0919,2,0.7233,0.1123,2,0.6667,0.2357,2,0.0,0.0,2,3.0,0.0,2,0.0693,0.002,2,0.0,0.0,2,170.2591,67.4533,2,0.8173,0.0131,2,0.823,0.002,2,0.0076,0.0066,2,3.0,0.0,2,0.8646,0.0047,2,0.057,0.0043,2,0.9619,0.0112,2,0.8153,0.0092,2
42,0.0,0.0,5,0.7198,0.094,5,0.8258,0.1305,5,0.6,0.1491,5,0.0,0.0,5,3.0,0.0,5,0.0269,0.0373,5,0.0,0.0,5,449.5341,728.926,5,0.8051,0.0257,5,0.8255,0.0202,5,0.0122,0.0037,5,3.0,0.0,5,0.873,0.0146,5,0.0541,0.0198,5,0.9531,0.0344,5,0.8105,0.0237,5
43,0.0,,1,0.6261,,1,0.6802,,1,1.0,,1,0.0,,1,3.0,,1,0.0101,,1,0.0,,1,176.1402,,1,0.8272,,1,0.8736,,1,0.0166,,1,3.0,,1,0.8954,,1,0.0371,,1,0.9593,,1,0.8529,,1
44,0.0,0.0,4,0.6816,0.1341,4,0.7574,0.2679,4,0.5417,0.0833,4,0.0,0.0,4,3.0,0.0,4,0.0518,0.0481,4,0.0,0.0,4,193.5611,156.0877,4,0.8206,0.0171,4,0.8399,0.0121,4,0.0103,0.0058,4,3.0,0.0,4,0.8735,0.0118,4,0.042,0.0116,4,0.9436,0.021,4,0.8295,0.0119,4
45,0.0,0.0,5,0.4804,0.3735,5,0.5062,0.4719,5,0.7067,0.1817,5,0.0,0.0,5,3.0,0.0,5,0.014,0.0314,5,0.0,0.0,5,3919.8226,8059.3501,5,0.7958,0.0268,5,0.8136,0.0245,5,0.0334,0.0318,5,3.0,0.0,5,0.8496,0.0219,5,0.0503,0.0318,5,0.92,0.0557,5,0.7676,0.0677,5
46,0.0833,0.1667,4,0.6326,0.1619,4,0.7121,0.2122,4,0.5708,0.1125,4,0.25,0.5,4,3.0,0.0,4,0.0683,0.0456,4,0.0,0.0,4,82.2928,49.044,4,0.8017,0.0299,4,0.8036,0.031,4,0.015,0.0104,4,3.0,0.0,4,0.8531,0.0278,4,0.0562,0.0065,4,0.9381,0.0383,4,0.7854,0.0273,4
47,0.0,0.0,5,0.6099,0.1698,5,0.6796,0.2965,5,0.7,0.2173,5,0.0,0.0,5,3.0,0.0,5,0.051,0.0572,5,0.0,0.0,5,188.6608,88.5119,5,0.8095,0.0249,5,0.8239,0.0375,5,0.0262,0.0361,5,3.0,0.0,5,0.8642,0.0232,5,0.0515,0.0263,5,0.9385,0.0226,5,0.7882,0.0829,5
48,0.0,0.0,3,0.686,0.0808,3,0.7595,0.1171,3,0.5556,0.0962,3,0.0,0.0,3,3.0,0.0,3,0.0772,0.0683,3,0.0,0.0,3,126.676,78.6492,3,0.8103,0.0265,3,0.8263,0.0153,3,0.027,0.0196,3,3.0,0.0,3,0.8674,0.0127,3,0.0503,0.0108,3,0.9394,0.0109,3,0.7885,0.0409,3
49,0.0,0.0,4,0.646,0.1145,4,0.7183,0.1813,4,0.6667,0.2357,4,0.0,0.0,4,3.0,0.0,4,0.0403,0.056,4,0.0,0.0,4,93.1567,21.2874,4,0.8201,0.0205,4,0.8421,0.0494,4,0.0234,0.0256,4,3.0,0.0,4,0.8758,0.0307,4,0.0456,0.0196,4,0.9411,0.0056,4,0.8089,0.0624,4
50,0.0,0.0,3,0.5522,0.3315,3,0.6292,0.417,3,0.5778,0.1347,3,0.0,0.0,3,3.0,0.0,3,0.0252,0.0436,3,0.0,0.0,3,128.5577,96.3978,3,0.7869,0.037,3,0.79,0.0403,3,0.0161,0.011,3,3.0,0.0,3,0.8276,0.055,3,0.0533,0.0158,3,0.9215,0.0574,3,0.7651,0.0394,3
