,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
18,0.0,0.0,8,0.6008,0.0848,8,0.6435,0.1271,8,0.6635,0.2166,8,0.0,0.0,8,4.5,1.6036,8,0.0546,0.0368,8,0.0,0.0,8,362.8244,491.882,8,0.8118,0.0125,8,0.0,0.0,8,0.0,0.0,8,4.5,1.6036,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8
19,0.0,,1,0.584,,1,0.6316,,1,0.8333,,1,0.0,,1,6.0,,1,0.072,,1,0.0,,1,42.5678,,1,0.821,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
20,0.0,0.0,7,0.5724,0.1319,7,0.6134,0.2184,7,0.619,0.1349,7,0.0,0.0,7,4.7143,1.6036,7,0.0633,0.0434,7,0.0,0.0,7,171.3908,177.1878,7,0.8157,0.0158,7,0.0,0.0,7,0.0,0.0,7,4.7143,1.6036,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7
22,0.0,,1,0.5617,,1,0.5922,,1,0.9167,,1,0.0,,1,6.0,,1,0.0553,,1,0.0,,1,227.0903,,1,0.8139,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
23,0.0,0.0,3,0.5206,0.173,3,0.5137,0.198,3,0.7417,0.1588,3,0.0,0.0,3,6.0,0.0,3,0.0465,0.0076,3,0.0,0.0,3,121.6255,74.493,3,0.824,0.0102,3,0.0,0.0,3,0.0,0.0,3,6.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
24,0.0,,1,0.5128,,1,0.4985,,1,0.5833,,1,0.0,,1,6.0,,1,0.0108,,1,0.0,,1,350.9724,,1,0.7938,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
25,0.0,0.0,2,0.5518,0.0766,2,0.5879,0.091,2,0.5708,0.0177,2,0.0,0.0,2,6.0,0.0,2,0.0499,0.0706,2,0.0,0.0,2,410.3802,435.8871,2,0.8377,0.0,2,0.0,0.0,2,0.0,0.0,2,6.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2
26,0.0,,1,0.5547,,1,0.5547,,1,0.5833,,1,0.0,,1,6.0,,1,0.0789,,1,0.0,,1,84.1637,,1,0.8367,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
27,0.0,0.0,10,0.6031,0.1332,10,0.6651,0.1949,10,0.6583,0.1544,10,0.0,0.0,10,4.8,1.5492,10,0.0557,0.0484,10,0.0,0.0,10,183.0574,220.6159,10,0.82,0.0154,10,0.0,0.0,10,0.0,0.0,10,4.8,1.5492,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
28,0.0,0.0,10,0.5647,0.1701,10,0.6026,0.231,10,0.7367,0.1737,10,0.0,0.0,10,4.8,1.5492,10,0.0522,0.0381,10,0.0,0.0,10,216.527,249.3976,10,0.8153,0.0213,10,0.0,0.0,10,0.0,0.0,10,4.8,1.5492,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
29,0.0,0.0,6,0.515,0.1183,6,0.5192,0.1759,6,0.5972,0.0974,6,0.0,0.0,6,5.0,1.5492,6,0.0423,0.0415,6,0.0,0.0,6,134.9329,49.3211,6,0.8105,0.0184,6,0.0,0.0,6,0.0,0.0,6,5.0,1.5492,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6
30,0.0,0.0,4,0.6547,0.0821,4,0.7482,0.1643,4,0.75,0.2152,4,0.0,0.0,4,4.5,1.7321,4,0.0544,0.0299,4,0.0,0.0,4,73.7011,32.4575,4,0.8142,0.0135,4,0.0,0.0,4,0.0,0.0,4,4.5,1.7321,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
32,0.0,0.0,11,0.5265,0.1635,11,0.578,0.2469,11,0.6727,0.172,11,0.0,0.0,11,4.9091,1.5136,11,0.0482,0.0334,11,0.0,0.0,11,255.8028,270.6491,11,0.8135,0.0207,11,0.0,0.0,11,0.0,0.0,11,4.9091,1.5136,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11
34,0.0,,1,0.6826,,1,0.7405,,1,0.8333,,1,0.0,,1,6.0,,1,0.0946,,1,0.0,,1,144.5138,,1,0.833,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
35,0.0,,1,0.6362,,1,0.7315,,1,0.5,,1,0.0,,1,3.0,,1,0.0541,,1,0.0,,1,46.0048,,1,0.7995,,1,0.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
36,0.0,0.0,5,0.5662,0.1332,5,0.5962,0.1701,5,0.5567,0.1267,5,0.0,0.0,5,4.8,1.6432,5,0.059,0.0422,5,0.0,0.0,5,98.1581,109.8565,5,0.8092,0.013,5,0.0,0.0,5,0.0,0.0,5,4.8,1.6432,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
37,0.0167,0.0527,10,0.5557,0.2214,10,0.6206,0.281,10,0.6633,0.1472,10,0.1,0.3162,10,4.8,1.5492,10,0.0502,0.0477,10,0.0,0.0,10,223.5874,270.819,10,0.8159,0.0179,10,0.0,0.0,10,0.0,0.0,10,4.8,1.5492,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
38,0.0,0.0,4,0.4032,0.3428,4,0.4801,0.4459,4,0.6625,0.1974,4,0.0,0.0,4,4.5,1.7321,4,0.0486,0.0452,4,0.0,0.0,4,406.5076,219.2236,4,0.8226,0.0232,4,0.0,0.0,4,0.0,0.0,4,4.5,1.7321,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
40,0.0,,1,0.7644,,1,1.0,,1,0.5,,1,0.0,,1,3.0,,1,0.1068,,1,0.0,,1,167.3442,,1,0.8303,,1,0.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
41,0.0,,1,0.5607,,1,0.6274,,1,0.5,,1,0.0,,1,3.0,,1,0.0173,,1,0.0,,1,33.9713,,1,0.7664,,1,0.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
42,0.0,0.0,10,0.5377,0.1643,10,0.5557,0.2612,10,0.6725,0.2046,10,0.0,0.0,10,4.8,1.5492,10,0.047,0.0346,10,0.0,0.0,10,238.3334,342.0857,10,0.8037,0.0209,10,0.0,0.0,10,0.0,0.0,10,4.8,1.5492,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
43,0.0,,1,0.4663,,1,0.4663,,1,0.6667,,1,0.0,,1,3.0,,1,0.0462,,1,0.0,,1,78.0394,,1,0.7958,,1,0.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
44,0.0,,1,0.4578,,1,0.4578,,1,0.5,,1,0.0,,1,3.0,,1,0.0275,,1,0.0,,1,48.0296,,1,0.7739,,1,0.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
45,0.0,0.0,10,0.5434,0.139,10,0.5813,0.2104,10,0.6917,0.1715,10,0.0,0.0,10,4.8,1.5492,10,0.0365,0.0313,10,0.0,0.0,10,169.276,198.2511,10,0.8047,0.0109,10,0.0,0.0,10,0.0,0.0,10,4.8,1.5492,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
46,0.0,0.0,9,0.4389,0.2461,9,0.4394,0.3786,9,0.6185,0.196,9,0.0,0.0,9,4.6667,1.5811,9,0.0419,0.037,9,0.0,0.0,9,276.3159,406.9233,9,0.8041,0.0189,9,0.0,0.0,9,0.0,0.0,9,4.6667,1.5811,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9
47,0.0,,1,0.5136,,1,0.4924,,1,0.5,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,194.5204,,1,0.8035,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
48,0.0,0.0,10,0.5658,0.1196,10,0.6208,0.195,10,0.6867,0.1834,10,0.0,0.0,10,4.8,1.5492,10,0.0557,0.0407,10,0.0,0.0,10,392.8404,639.3223,10,0.8137,0.0169,10,0.0,0.0,10,0.0,0.0,10,4.8,1.5492,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
49,0.0,,1,0.5136,,1,0.4924,,1,0.5,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,251.9465,,1,0.8068,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
50,0.0,0.0,10,0.565,0.1672,10,0.6193,0.2345,10,0.6425,0.1916,10,0.0,0.0,10,4.8,1.5492,10,0.0508,0.0306,10,0.0,0.0,10,143.9319,138.594,10,0.8126,0.0179,10,0.0,0.0,10,0.0,0.0,10,4.8,1.5492,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
