,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
23,0.0,,1,0.588,,1,0.6806,,1,0.6667,,1,0.0,,1,3.0,,1,0.0567,,1,0.0,,1,116.4089,,1,0.8241,,1,0.0567,,1,0.0802,,1,3.0,,1,0.3967,,1,0.3546,,1,0.8387,,1,0.0,,1
26,0.0,0.0,9,0.5463,0.2462,9,0.6157,0.3372,9,0.6667,0.2205,9,0.0,0.0,9,3.0,0.0,9,0.0741,0.06,9,0.0,0.0,9,485.2419,532.4191,9,0.8274,0.0269,9,0.0644,0.0568,9,0.0486,0.05,9,3.0,0.0,9,0.3757,0.1369,9,0.329,0.1044,9,0.7799,0.221,9,0.0192,0.0342,9
28,0.0,0.0,2,0.332,0.26,2,0.332,0.26,2,1.0,0.0,2,0.0,0.0,2,3.0,0.0,2,0.0627,0.0161,2,0.0,0.0,2,508.4142,477.0114,2,0.8313,0.0359,2,0.0627,0.0161,2,0.0886,0.0228,2,3.0,0.0,2,0.2707,0.1518,2,0.2753,0.0793,2,0.6744,0.0834,2,0.0,0.0,2
32,0.0,0.0,8,0.5628,0.1125,8,0.6002,0.168,8,0.7917,0.2136,8,0.0,0.0,8,3.0,0.0,8,0.0677,0.0409,8,0.0,0.0,8,202.9152,178.7289,8,0.8209,0.0327,8,0.0539,0.0252,8,0.0429,0.0295,8,3.0,0.0,8,0.3827,0.0748,8,0.3507,0.0451,8,0.8432,0.0696,8,0.0137,0.0192,8
33,0.0,0.0,11,0.5193,0.1646,11,0.55,0.2332,11,0.7591,0.2016,11,0.0,0.0,11,3.0,0.0,11,0.0568,0.0331,11,0.0,0.0,11,136.5378,76.4885,11,0.8189,0.023,11,0.0445,0.0205,11,0.0336,0.0288,11,3.0,0.0,11,0.3581,0.0965,11,0.3404,0.0535,11,0.8216,0.0932,11,0.0086,0.0177,11
34,0.0,0.0,2,0.6237,0.0306,2,0.7036,0.0326,2,0.5833,0.1179,2,0.0,0.0,2,3.0,0.0,2,0.1141,0.0099,2,0.0,0.0,2,148.0063,61.8637,2,0.8305,0.0076,2,0.083,0.0163,2,0.0681,0.0466,2,3.0,0.0,2,0.4176,0.0053,2,0.347,0.0214,2,0.8619,0.0067,2,0.0303,0.0429,2
35,0.0,,1,0.6293,,1,0.7245,,1,0.6667,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,617.2478,,1,0.8308,,1,0.0,,1,0.0,,1,3.0,,1,0.3765,,1,0.3788,,1,0.8333,,1,0.0,,1
36,0.0,0.0,3,0.496,0.0845,3,0.5167,0.1426,3,0.8333,0.2887,3,0.0,0.0,3,3.0,0.0,3,0.0569,0.0505,3,0.0,0.0,3,186.7207,205.3792,3,0.8271,0.0121,3,0.0533,0.0465,3,0.0416,0.0361,3,3.0,0.0,3,0.3484,0.0411,3,0.3243,0.029,3,0.7719,0.0354,3,0.0,0.0,3
37,0.0,0.0,2,0.3274,0.2059,2,0.2971,0.2488,2,0.8333,0.2357,2,0.0,0.0,2,3.0,0.0,2,0.037,0.0524,2,0.0,0.0,2,256.5889,259.7443,2,0.837,0.0452,2,0.037,0.0524,2,0.0524,0.0741,2,3.0,0.0,2,0.2619,0.063,2,0.2516,0.0919,2,0.6159,0.1638,2,0.0,0.0,2
41,0.0,0.0,2,0.4626,0.268,2,0.4976,0.3176,2,0.75,0.3536,2,0.0,0.0,2,3.0,0.0,2,0.0538,0.0109,2,0.0,0.0,2,55.2739,30.1728,2,0.8086,0.0085,2,0.0484,0.0033,2,0.0269,0.0181,2,3.0,0.0,2,0.3302,0.1274,2,0.3324,0.0614,2,0.7738,0.1179,2,0.0135,0.0191,2
42,0.0,,1,0.5407,,1,0.5407,,1,0.5,,1,0.0,,1,3.0,,1,0.1803,,1,0.0,,1,100.1849,,1,0.8533,,1,0.1803,,1,0.0791,,1,3.0,,1,0.4266,,1,0.263,,1,0.7895,,1,0.0952,,1
44,0.0,0.0,4,0.4912,0.2081,4,0.5017,0.335,4,0.6333,0.0903,4,0.0,0.0,4,3.0,0.0,4,0.0356,0.034,4,0.0,0.0,4,234.3953,292.3086,4,0.8078,0.0287,4,0.0295,0.0252,4,0.0224,0.0194,4,3.0,0.0,4,0.3279,0.1197,4,0.3073,0.1107,4,0.7426,0.2569,4,0.0,0.0,4
45,0.0,0.0,5,0.4472,0.1809,5,0.456,0.2335,5,0.65,0.165,5,0.0,0.0,5,3.0,0.0,5,0.0543,0.0292,5,0.0,0.0,5,348.8955,640.6924,5,0.7995,0.0192,5,0.0472,0.0226,5,0.032,0.0128,5,3.0,0.0,5,0.315,0.1262,5,0.3192,0.064,5,0.8203,0.1432,5,0.0164,0.0236,5
48,0.0,0.0,3,0.5001,0.1868,3,0.5476,0.227,3,0.8,0.2646,3,0.0,0.0,3,3.0,0.0,3,0.0681,0.0382,3,0.0,0.0,3,431.5552,644.2104,3,0.8234,0.0155,3,0.0646,0.0421,3,0.0464,0.0326,3,3.0,0.0,3,0.3652,0.117,3,0.3378,0.0318,3,0.8267,0.0818,3,0.0123,0.0214,3
