,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
18,0.0,,1,0.7727,,1,0.8889,,1,0.5,,1,0.0,,1,3.0,,1,0.101,,1,0.0,,1,183.7685,,1,0.8357,,1,0.0,,1,0.0,,1,3.0,,1,0.3157,,1,0.3437,,1,0.812,,1,0.0,,1
20,0.0,0.0,2,0.5366,0.3339,2,0.5278,0.5106,2,0.6833,0.0236,2,0.0,0.0,2,4.5,2.1213,2,0.0547,,1,0.0,0.0,2,69.2902,,1,0.8288,,1,0.0,0.0,2,0.0,0.0,2,4.5,2.1213,2,0.2292,0.1519,2,0.2473,0.1739,2,0.5664,0.3903,2,0.0,0.0,2
21,0.0,0.0,2,0.7288,0.1207,2,0.8217,0.2522,2,0.6667,0.2357,2,0.0,0.0,2,3.0,0.0,2,0.0457,0.0646,2,0.0,0.0,2,138.7493,57.561,2,0.8299,0.0146,2,0.0,0.0,2,0.0,0.0,2,3.0,0.0,2,0.2944,0.0171,2,0.2992,0.0225,2,0.6856,0.1043,2,0.0,0.0,2
25,0.0556,0.0962,3,0.6738,0.1893,3,0.7553,0.3323,3,0.6333,0.2309,3,0.3333,0.5774,3,4.0,1.7321,3,0.0779,0.0676,3,0.0,0.0,3,139.7883,144.5827,3,0.8177,0.0121,3,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.263,0.0654,3,0.31,0.0163,3,0.8433,0.1366,3,0.0,0.0,3
26,0.0,,1,0.7395,,1,0.8889,,1,0.6667,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,137.2869,,1,0.8106,,1,0.0,,1,0.0,,1,3.0,,1,0.3307,,1,0.3381,,1,0.7801,,1,0.0,,1
27,0.0,0.0,9,0.5402,0.2216,9,0.5787,0.3225,9,0.7074,0.2165,9,0.0,0.0,9,4.3333,1.5811,9,0.0315,0.0412,9,0.0,0.0,9,197.4771,218.9114,9,0.8061,0.0148,9,0.0,0.0,9,0.0,0.0,9,4.3333,1.5811,9,0.1962,0.0961,9,0.2351,0.0766,9,0.568,0.1673,9,0.0,0.0,9
28,0.0,0.0,9,0.5536,0.2277,9,0.595,0.3112,9,0.7389,0.2028,9,0.0,0.0,9,4.3333,1.5811,9,0.0361,0.0384,9,0.0,0.0,9,252.6888,251.6931,9,0.8062,0.0231,9,0.0,0.0,9,0.0,0.0,9,4.3333,1.5811,9,0.2092,0.0972,9,0.2543,0.0807,9,0.6332,0.1915,9,0.0,0.0,9
29,0.0,,1,0.4686,,1,0.5375,,1,0.5,,1,0.0,,1,6.0,,1,0.0496,,1,0.0,,1,30.0923,,1,0.7819,,1,0.0,,1,0.0,,1,6.0,,1,0.1577,,1,0.2426,,1,0.6456,,1,0.0,,1
31,0.0,0.0,3,0.6163,0.2377,3,0.6929,0.3519,3,0.7222,0.2546,3,0.0,0.0,3,4.0,1.7321,3,0.0488,0.0209,3,0.0,0.0,3,173.3986,62.1555,3,0.8147,0.0089,3,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.2177,0.1052,3,0.2461,0.065,3,0.5784,0.1197,3,0.0,0.0,3
32,0.0,0.0,9,0.6153,0.1495,9,0.6872,0.2158,9,0.6833,0.1616,9,0.0,0.0,9,4.3333,1.5811,9,0.0438,0.0401,9,0.0,0.0,9,143.4329,112.2417,9,0.8081,0.0196,9,0.0,0.0,9,0.0,0.0,9,4.3333,1.5811,9,0.2208,0.0638,9,0.2575,0.0524,9,0.6491,0.1503,9,0.0,0.0,9
33,0.0,,1,0.7069,,1,0.7625,,1,0.8333,,1,0.0,,1,3.0,,1,0.0303,,1,0.0,,1,183.5107,,1,0.818,,1,0.0,,1,0.0,,1,3.0,,1,0.3177,,1,0.322,,1,0.7166,,1,0.0,,1
34,0.1667,0.2357,2,0.8492,0.0365,2,1.0,0.0,2,0.5,0.0,2,0.5,0.7071,2,3.0,0.0,2,0.0393,0.0127,2,0.0,0.0,2,194.2512,140.8007,2,0.8245,0.0235,2,0.0,0.0,2,0.0,0.0,2,3.0,0.0,2,0.2942,0.0923,2,0.296,0.0909,2,0.6336,0.1787,2,0.0,0.0,2
35,0.0,0.0,3,0.6452,0.2513,3,0.7252,0.3491,3,0.6667,0.2887,3,0.0,0.0,3,4.0,1.7321,3,0.063,0.0197,2,0.0,0.0,3,117.6104,76.434,2,0.8143,0.0347,2,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.2552,0.1287,3,0.2915,0.1051,3,0.7286,0.1619,3,0.0,0.0,3
36,0.0,0.0,6,0.6323,0.1911,6,0.6965,0.2593,6,0.7056,0.1421,6,0.0,0.0,6,4.0,1.5492,6,0.0501,0.0369,6,0.0,0.0,6,125.387,75.714,6,0.8197,0.0234,6,0.0,0.0,6,0.0,0.0,6,4.0,1.5492,6,0.2191,0.0845,6,0.2408,0.0723,6,0.568,0.1422,6,0.0,0.0,6
37,0.0,0.0,5,0.6385,0.1283,5,0.7741,0.1898,5,0.7167,0.1624,5,0.0,0.0,5,3.6,1.3416,5,0.0731,0.062,5,0.0,0.0,5,196.2602,193.4299,5,0.8089,0.0158,5,0.0,0.0,5,0.0,0.0,5,3.6,1.3416,5,0.231,0.0542,5,0.2574,0.0426,5,0.6233,0.1211,5,0.0,0.0,5
38,0.0,0.0,3,0.589,0.1051,3,0.5799,0.1584,3,0.6944,0.1735,3,0.0,0.0,3,4.0,1.7321,3,0.0567,0.0651,3,0.0,0.0,3,105.0084,72.4582,3,0.8054,0.0069,3,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.1809,0.0635,3,0.2349,0.0356,3,0.5936,0.0972,3,0.0,0.0,3
39,0.0,0.0,3,0.6505,0.1546,3,0.6929,0.205,3,0.7222,0.1925,3,0.0,0.0,3,4.0,1.7321,3,0.0293,0.0393,3,0.0,0.0,3,103.1305,84.6328,3,0.8071,0.0174,3,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.1969,0.1004,3,0.2572,0.0839,3,0.6438,0.2205,3,0.0,0.0,3
40,0.0,0.0,4,0.6643,0.1506,4,0.7239,0.2634,4,0.7083,0.2097,4,0.0,0.0,4,3.75,1.5,4,0.0481,0.0542,4,0.0,0.0,4,139.045,101.9864,4,0.8159,0.0213,4,0.0,0.0,4,0.0,0.0,4,3.75,1.5,4,0.2143,0.0956,4,0.262,0.0805,4,0.6336,0.1831,4,0.0,0.0,4
41,0.0,0.0,8,0.4732,0.347,8,0.5167,0.3876,8,0.7312,0.1634,8,0.0,0.0,8,3.75,1.3887,8,0.0343,0.0551,7,0.0,0.0,8,299.6918,570.5712,7,0.8051,0.0193,7,0.0,0.0,8,0.0,0.0,8,3.75,1.3887,8,0.1569,0.1257,8,0.172,0.1256,8,0.4135,0.2983,8,0.0,0.0,8
42,0.0,0.0,3,0.627,0.2514,3,0.651,0.4328,3,0.75,0.25,3,0.0,0.0,3,4.0,1.7321,3,0.0777,0.0672,3,0.0,0.0,3,130.2982,139.4903,3,0.8092,0.0184,3,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.2235,0.1033,3,0.2437,0.0828,3,0.6433,0.1282,3,0.0,0.0,3
43,0.0,0.0,7,0.513,0.2469,7,0.5585,0.3064,7,0.7548,0.2029,7,0.0,0.0,7,3.8571,1.4639,7,0.0567,0.0669,7,0.0,0.0,7,288.7271,465.3859,7,0.8146,0.0208,7,0.0,0.0,7,0.0,0.0,7,3.8571,1.4639,7,0.1805,0.1077,7,0.2153,0.1095,7,0.5388,0.2578,7,0.0,0.0,7
44,0.0,,1,0.609,,1,0.7692,,1,0.9,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,331.0215,,1,0.8144,,1,0.0,,1,0.0,,1,3.0,,1,0.2775,,1,0.3466,,1,0.7744,,1,0.0,,1
45,0.0,0.0,5,0.5301,0.3023,5,0.5897,0.3462,5,0.6967,0.1366,5,0.0,0.0,5,3.6,1.3416,5,0.1161,0.1224,4,0.0,0.0,5,45.2733,20.365,4,0.8092,0.0186,4,0.0,0.0,5,0.0,0.0,5,3.6,1.3416,5,0.1808,0.1038,5,0.2087,0.1257,5,0.5127,0.3183,5,0.0,0.0,5
46,0.0,0.0,7,0.3984,0.2671,7,0.4021,0.3044,7,0.7952,0.1433,7,0.0,0.0,7,3.8571,1.4639,7,0.047,0.0509,7,0.0,0.0,7,521.5675,977.0104,7,0.809,0.0163,7,0.0,0.0,7,0.0,0.0,7,3.8571,1.4639,7,0.1478,0.0939,7,0.2099,0.1128,7,0.5514,0.2857,7,0.0,0.0,7
47,0.0,0.0,4,0.4601,0.3072,4,0.5193,0.3891,4,0.8708,0.1734,4,0.0,0.0,4,3.75,1.5,4,0.0566,0.0732,4,0.0,0.0,4,106.1488,122.1688,4,0.8116,0.0206,4,0.0,0.0,4,0.0,0.0,4,3.75,1.5,4,0.1824,0.1342,4,0.2146,0.1534,4,0.5233,0.357,4,0.0,0.0,4
48,0.0,0.0,6,0.4008,0.3224,6,0.4431,0.3804,6,0.8333,0.143,6,0.0,0.0,6,4.0,1.5492,6,0.051,0.0466,5,0.0,0.0,6,612.1286,1090.8221,5,0.8097,0.02,5,0.0,0.0,6,0.0,0.0,6,4.0,1.5492,6,0.1679,0.135,6,0.185,0.1515,6,0.4257,0.3457,6,0.0,0.0,6
49,0.0208,0.0589,8,0.6179,0.2657,8,0.7138,0.3113,8,0.7958,0.2163,8,0.125,0.3536,8,4.125,1.5526,8,0.0548,0.0706,8,0.0,0.0,8,184.0294,134.1537,8,0.8106,0.0215,8,0.0,0.0,8,0.0,0.0,8,4.125,1.5526,8,0.2312,0.1036,8,0.2469,0.1126,8,0.6039,0.2902,8,0.0,0.0,8
50,0.0,0.0,6,0.5142,0.2629,6,0.5747,0.3013,6,0.7833,0.2116,6,0.0,0.0,6,4.0,1.5492,6,0.0487,0.0726,6,0.0,0.0,6,139.9271,79.4702,6,0.811,0.0247,6,0.0,0.0,6,0.0,0.0,6,4.0,1.5492,6,0.1881,0.1137,6,0.2114,0.1195,6,0.531,0.2843,6,0.0,0.0,6
